Operators_used,Mean_time,Mean_profit
"[0, 0, 0, 0, 0, 0]",0.003487567901611328,0.0
"[0, 0, 0, 0, 0, 1]",0.004823057651519775,8.56
"[0, 0, 0, 0, 1, 0]",0.00411912202835083,10.0
"[0, 0, 0, 0, 1, 1]",0.004998707771301269,10.0
"[0, 0, 0, 1, 0, 0]",0.008827149868011475,20.0
"[0, 0, 0, 1, 0, 1]",0.010089025497436524,20.0
"[0, 0, 0, 1, 1, 0]",0.008860030174255372,20.0
"[0, 0, 0, 1, 1, 1]",0.010073246955871583,20.0
"[0, 0, 1, 0, 0, 0]",0.010689787864685059,10.0
"[0, 0, 1, 0, 0, 1]",0.011998860836029053,10.0
"[0, 0, 1, 0, 1, 0]",0.011184477806091308,10.0
"[0, 0, 1, 0, 1, 1]",0.013422410488128662,10.0
"[0, 0, 1, 1, 0, 0]",0.01936793327331543,20.0
"[0, 0, 1, 1, 0, 1]",0.019899404048919676,20.0
"[0, 0, 1, 1, 1, 0]",0.018738534450531006,20.0
"[0, 0, 1, 1, 1, 1]",0.020027773380279543,20.0
"[0, 1, 0, 0, 0, 0]",0.10521986484527587,57.16
"[0, 1, 0, 0, 0, 1]",0.11888891696929932,58.01
"[0, 1, 0, 0, 1, 0]",0.10676805019378661,58.9
"[0, 1, 0, 0, 1, 1]",0.11469267129898071,59.44
"[0, 1, 0, 1, 0, 0]",0.11501861333847047,61.9
"[0, 1, 0, 1, 0, 1]",0.12409441471099854,61.53
"[0, 1, 0, 1, 1, 0]",0.11642849445343018,61.13
"[0, 1, 0, 1, 1, 1]",0.12178634643554688,61.55
"[0, 1, 1, 0, 0, 0]",0.13866208553314208,59.07
"[0, 1, 1, 0, 0, 1]",0.1416145658493042,59.23
"[0, 1, 1, 0, 1, 0]",0.13505959510803223,59.67
"[0, 1, 1, 0, 1, 1]",0.1423258352279663,59.46
"[0, 1, 1, 1, 0, 0]",0.14312914609909058,61.84
"[0, 1, 1, 1, 0, 1]",0.14876829147338866,61.6
"[0, 1, 1, 1, 1, 0]",0.14236428022384642,62.11
"[0, 1, 1, 1, 1, 1]",0.15171439647674562,61.48
"[1, 0, 0, 0, 0, 0]",0.03128922462463379,36.2
"[1, 0, 0, 0, 0, 1]",0.042958579063415527,37.42
"[1, 0, 0, 0, 1, 0]",0.042781529426574705,39.0
"[1, 0, 0, 0, 1, 1]",0.05006834983825684,39.0
"[1, 0, 0, 1, 0, 0]",0.07677680253982544,54.7
"[1, 0, 0, 1, 0, 1]",0.08825253725051879,55.12
"[1, 0, 0, 1, 1, 0]",0.078876793384552,55.29
"[1, 0, 0, 1, 1, 1]",0.08923897981643676,54.38
"[1, 0, 1, 0, 0, 0]",0.061889221668243406,39.0
"[1, 0, 1, 0, 0, 1]",0.07034900188446044,39.0
"[1, 0, 1, 0, 1, 0]",0.06170899868011474,39.0
"[1, 0, 1, 0, 1, 1]",0.07211961030960083,39.0
"[1, 0, 1, 1, 0, 0]",0.10701743364334107,54.78
"[1, 0, 1, 1, 0, 1]",0.11898739576339722,55.63
"[1, 0, 1, 1, 1, 0]",0.10473018407821655,54.82
"[1, 0, 1, 1, 1, 1]",0.11677481412887573,55.31
"[1, 1, 0, 0, 0, 0]",0.20237175703048707,74.36
"[1, 1, 0, 0, 0, 1]",0.2215775728225708,74.51
"[1, 1, 0, 0, 1, 0]",0.2501983642578125,76.28
