State_proved,Mean_time,Mean_profit
"[5, 1]",2.0851795077323914,83.25
"[5, 2]",1.0019145607948303,83.25
"[5, 3]",0.6533478498458862,82.25
"[5, 4]",0.5009618997573853,81.75
"[5, 5]",0.40008509159088135,79.75
"[5, 6]",0.34017932415008545,78.0
"[5, 7]",0.29158926010131836,80.0
"[5, 8]",0.2577671408653259,81.5
"[5, 9]",0.2373320460319519,79.75
"[5, 10]",0.20536911487579346,81.75
"[10, 1]",2.2344970107078552,83.25
"[10, 2]",1.0319803953170776,83.25
"[10, 3]",0.6819499135017395,80.25
"[10, 4]",0.5094403028488159,82.0
"[10, 5]",0.42440712451934814,79.25
"[10, 6]",0.3373129367828369,81.0
"[10, 7]",0.29210519790649414,80.25
"[10, 8]",0.25521570444107056,79.0
"[10, 9]",0.23102295398712158,77.75
"[10, 10]",0.20512831211090088,81.0
"[15, 1]",2.108428955078125,82.5
"[15, 2]",1.0216079354286194,82.0
"[15, 3]",0.6941600441932678,82.0
"[15, 4]",0.5243663191795349,82.25
"[15, 5]",0.4199340343475342,80.75
"[15, 6]",0.34484362602233887,82.75
"[15, 7]",0.3280956745147705,77.5
"[15, 8]",0.25443798303604126,81.5
"[15, 9]",0.22925430536270142,82.0
"[15, 10]",0.1992362141609192,78.0
"[20, 1]",2.096536099910736,83.25
"[20, 2]",1.0493019223213196,83.25
"[20, 3]",0.6840642094612122,82.25
"[20, 4]",0.524126410484314,81.5
"[20, 5]",0.41719645261764526,81.0
"[20, 6]",0.34714275598526,81.75
"[20, 7]",0.3046113848686218,78.75
"[20, 8]",0.2564784288406372,81.75
"[20, 9]",0.22044110298156738,80.75
"[20, 10]",0.20774972438812256,79.5
"[25, 1]",2.0737640261650085,83.25
"[25, 2]",0.9981490969657898,82.0
"[25, 3]",0.6642935872077942,81.0
"[25, 4]",0.49921929836273193,78.25
"[25, 5]",0.3949454426765442,76.75
"[25, 6]",0.3247540593147278,81.25
"[25, 7]",0.2864912152290344,79.5
"[25, 8]",0.2640363574028015,78.5
